,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_prec,Feb_prec,Mar_prec,Apr_prec,May_prec,Jun_prec,Jul_prec,Aug_prec,Sep_prec,Oct_prec,Nov_prec,Dec_prec
1980,34.9,31.6,42,54.8,63.5,69.2,76.2,76,70.7,54.1,43.4,36.4,4.16,1.23,4.98,4.28,3.55,1.57,4.66,2.37,2.13,3.43,2.74,0.82
1981,29.2,38.2,41.5,57.9,60.6,73.6,74.8,71.1,65.2,53,45.5,33.4,0.59,3.41,1.85,2.69,4.46,3.37,5.06,3.26,3.44,3.71,0.9,3.48
1982,28.3,38,45,51.5,66.2,69.4,74.7,71,65.3,56,48.2,42.6,3.93,4.74,3.27,2.83,3.41,5.63,4.85,4.29,2.68,3.23,3.64,3.09
1983,34,36.1,46.1,50.8,61.2,70,75.5,75.9,67.1,56.2,46.4,34.1,1.6,3.8,4.86,6.55,4.22,3.38,1.79,2.55,2.42,5.23,4.54,5.31
1984,30.8,41.5,41,51.8,61.7,72.6,72.3,73.3,64.1,62.7,43.4,45.1,2.49,4.92,6.14,4.78,4.96,2.15,5.81,4.85,1.35,2.76,3.23,1.94
1985,29.5,36.3,47.2,58.2,64.4,69.8,73.7,71.9,66.8,59.2,53.6,34.2,2.95,3.61,1.69,1.14,4.52,2.63,4.81,6.55,2.23,4.13,8.88,1.09
1986,33.6,37.5,45.4,56,63.8,72.7,77.4,71.5,67.6,58.1,46.6,37.6,1.75,2.98,1.72,1.61,3.02,1.52,3.83,5.85,2.03,2.33,3.7,4.82
1987,32.7,35.5,45.1,51.4,65.5,72.8,77.4,75.4,68,50.5,48.3,39.9,5.08,2.7,3.39,7.01,2.8,3.62,2.88,2.16,7.25,1.53,3.8,3.08
1988,29.5,36.4,45.5,53.2,62.3,69.8,76,76.3,65.2,50,46.3,36.5,2.53,2.09,1.87,2.83,4.55,2.4,4.58,3.68,2.87,2.14,4.22,1.2
1989,39.5,37.5,45.7,52.6,60.4,72.9,74.6,72.5,67.1,56.8,45.8,27,2.1,3.5,4.74,3.93,5.74,6.65,6.01,4.47,5.95,4.21,3.09,2.12
1990,42,44.4,49.3,54.2,62.2,70.8,75.6,73.2,66.4,58.5,49.3,42.7,3.47,3.32,3.42,3.2,6.69,1.79,4.32,4.76,1.86,6.75,1.68,4.22
1991,37.1,41,47.4,56.4,68.6,71.8,76.9,73.9,67.4,56.8,45.3,41.1,3.72,1.9,5.88,2.38,2.42,3.46,5.49,2.71,2.48,1.62,2.08,4.81
1992,37.4,40.4,44.2,54.1,59.2,67.5,75.6,70.4,66.8,53.4,46.6,37.4,2.65,2.89,3.66,3.31,4.66,3.74,4.26,4.69,3.75,2.28,4.24,3.9
1993,38.8,34.8,41.3,52.8,64.2,71,78.2,74.7,68.4,54.8,46.3,35.4,3.77,2.83,7.37,4.28,3.54,2.83,2.77,2.79,3.76,2.5,4.03,4.5
1994,29.4,37.5,45.2,58.6,59.3,73.6,76,71.7,65.1,54.6,50.4,42.2,4.2,4.79,7.9,2.68,2.69,3.17,6.29,4.85,2.66,1.86,2.73,1.56
1995,37.3,34.9,47.7,54.6,62.6,70.6,76.3,76.1,66.1,58,41.9,33.7,5.05,2.16,2.48,1.71,4.98,7.5,3.59,1.86,3.27,5.87,3.81,2.03
1996,32.9,36.1,40.5,54.4,62.9,72.1,73.3,72.2,66.2,56.3,41,40.3,5.93,2.79,3.75,2.81,5.34,4.32,5.49,5.43,7.87,3.69,3.72,4.74
1997,35.2,41.6,48,50.8,58.8,68.6,75.3,72.1,66.4,55.9,43.3,38,2.66,2.87,4.32,3.3,1.91,3.46,4.51,2.17,3.1,2.55,4.47,2.76
1998,40.7,41.5,45.4,55.6,65.5,71.7,75.3,74.6,71.6,57.4,47.4,42.6,6.89,5.99,5.22,4.95,5.3,4.3,2.15,2.91,1.81,1.5,1.15,3.77
1999,39,40,42.3,56.1,62.9,70.7,77.6,74.8,66,54.7,51.4,39.7,4.99,2.2,3.46,2.9,2.31,1.89,4.18,3.35,10.37,2.65,2.22,2.2
2000,34,41.5,49.6,53.9,65.7,72.6,72.3,72.4,65.7,57.4,43.6,30.1,3.25,1.81,3.25,4.66,3.29,5.51,5.14,4.57,4.84,0.09,1.88,2.04
2001,34.3,41.2,42,56.6,63,71.5,71.9,75,64.8,55.2,51.2,43.4,2.27,2.01,4.45,1.64,4.88,4.62,5.21,3.84,2.2,0.89,0.59,2.28
2002,39.2,40.5,46.3,57.7,62,72.9,76.6,75.8,69.4,57.5,44.8,36,2.99,0.9,4.39,3.2,3.52,2.54,3.97,2.98,3.49,5.74,4.8,4.1
2003,31.1,34.8,48,54.7,61.7,68.9,74.5,75.5,66.7,55.2,51.5,36.8,2.19,6.1,4.33,4.79,7.22,6.49,6.15,5.29,8.15,2.66,4.35,4.17
2004,32.1,36.3,47.8,55.4,68.9,70.8,74.6,71.8,67.9,57.3,49.5,38.2,1.95,2.38,2.17,4.13,4.4,5.36,5.81,6.03,7.25,2.35,4.21,2.9
2005,37.7,39.3,41.8,55,59.8,71.8,77.1,76.3,70.4,58.2,48.7,35.1,3.09,1.82,3.8,3.1,3.15,2.47,5.65,3.37,0.71,5.54,3.66,3.47
2006,42.4,37.4,46.1,58,61.1,70.7,75.9,76.5,64.8,54.2,48.7,43.1,3.1,1.65,0.7,3.49,2.55,7.06,4.11,3.22,6.91,6.23,5.28,1.9
2007,39.9,31.9,49.2,53.4,64.4,71.9,73.8,77.5,69.4,62.5,46.2,41.5,3.19,2.15,3.29,3.72,2.16,3.77,3.09,3.17,1.54,4.71,1.05,3.35
2008,36,40.3,46.8,55.9,61.3,74,74.6,72.3,68.2,54.8,44.1,40.2,1.42,2.71,3.23,5.61,4.23,3.01,4.05,3.66,4.34,1.49,2.89,4
2009,32.6,38.9,45.1,55.4,64.1,71.6,71.9,75.2,66.6,55.3,49.5,35.7,2.92,0.94,4.01,3.12,6.13,5.2,4.07,4.19,3.72,3.12,6.68,7.15
2010,32.7,31.9,47.4,58.6,66.2,76,77.9,76,70,58,46.3,30.1,4.18,2.96,4.61,1.73,4.25,2.53,2.82,4.56,5.36,3.79,2,2.95
2011,32.1,40.9,46,58.2,64.8,73.4,77.8,74.9,68.2,55.5,49.4,42.6,1.58,1.68,5.28,4.75,4.33,3.28,4.16,5.14,6.83,3.78,3.86,3.63
2012,38.9,41.8,55.2,55.6,67.3,70.2,78.7,74,66.9,56.4,42.7,42.9,2.26,2.54,3.87,3.04,4.14,2.85,4.63,4.74,4.14,4.09,0.67,3.08
2013,38.5,36.8,40.1,56,62.5,72.2,75.6,71.8,66.3,57.6,43.7,40.3,5.95,2.27,3.7,3.56,4.37,7.02,6.46,4.47,1.64,3.09,3.03,5.81
2014,29.4,37,40.7,55,65.2,72.5,73.4,71.3,68.1,57.8,42.1,40.8,2.69,3.36,3.29,4.73,4.35,3.49,3.82,4.69,2.97,4.02,3.13,3.21
2015,33.8,28.9,44.2,55.9,67.1,73.7,75.3,73.2,69.3,56.3,51.1,49.6,2.59,2.66,3.75,4.51,2.15,6.95,5.05,2.65,5.73,4.58,3.92,5.22
2016,33.1,38.4,51.8,55.1,61.9,71.8,77.3,77,71.8,59.8,48.3,39.1,2.93,4.71,2.05,2.34,6.92,5.04,4.82,3.23,5.27,3.52,1.37,3.21
2017,40.1,46,45.9,60.6,63.4,71.2,76.8,72.8,67.4,60.2,46.1,37.2,3.96,0.86,3.17,4.85,7.52,3.41,4.13,4.66,2.03,4.5,1.36,1.11
2018,31.8,45.2,41.2,52.2,69.7,73.1,75.1,75.2,72.8,59,43.8,39.7,2.67,4.35,3.17,4.43,7.27,5.96,5.39,5.81,7.96,5.08,6.08,5.36
2019,36.3,41.8,43.9,58.1,68.9,71.2,77.1,74.7,72.5,60.6,43.1,41.5,3.52,5.23,3.31,4.16,3.6,5.81,4.51,3.43,0.94,5.63,2.48,3.38
2020,40.6,42.4,51.7,53.3,60.5,71.3,78.7,75.5,66.4,59,51.3,38.4,3.55,5.01,2.93,5.98,4.87,5.13,4.07,8.2,6.31,5.06,5.15,5.14
2021,36.6,36.6,48.5,55.3,62.3,72,75.9,76.4,68.4,62.3,44.5,45.8,3.14,4.9,3.47,2.73,2.2,4.09,4.56,6.05,4.22,3.4,0.94,1.16
2022,32.8,40.7,48.9,55.2,65,72.2,76.9,74.7,67.9,53.9,49,37.3,4.51,2.79,3.44,2.76,5.53,3.27,5.48,4.36,2.64,2.86,4.03,3.89
2023,42.7,46.2,47.4,57.7,61.4,67.9,76.7,74.3,68.4,58.7,45.9,42.4,3.05,3.17,1.86,4.56,3.16,4.13,4.94,3.67,4.01,1.24,2.31,5.33
2024,37.1,42.8,50.1,58.4,66.6,73.8,77.5,74.4,68.2,58.4,51.5,38.8,5.71,2.55,4.95,2.34,5.18,1.41,5.61,5.22,6.7,0.9,2.01,2.9
2025,36.5,40.9,47.4,56.2,64.7,71.8,76.7,74.8,69.3,58.8,47.5,41.0,3.6,3.6,3.2,3.9,4.8,4.5,4.9,4.7,4.6,3.7,3.0,3.7
2026,36.8,42.1,47.7,56.2,64.4,71.6,76.9,75.0,69.3,59.1,47.1,40.1,3.7,3.7,3.2,3.8,5.1,4.3,4.8,4.9,4.5,3.6,2.9,3.5
2027,37.1,42.5,47.3,56.3,64.7,71.6,76.8,74.8,69.1,59.0,47.0,40.2,3.7,3.6,3.3,3.9,4.9,4.2,4.8,5.1,4.4,3.6,3.0,3.5
2028,36.8,42.1,47.4,55.9,64.8,71.7,76.8,75.0,69.2,58.9,47.1,40.5,3.7,3.9,3.3,3.9,4.7,4.3,4.9,5.2,4.6,3.5,3.2,3.8
2029,37.3,41.8,48.0,56.3,64.3,71.5,77.0,75.0,68.9,58.9,47.4,40.6,3.8,3.9,3.3,3.8,4.4,4.1,4.9,5.1,4.3,3.3,2.9,3.6
2030,37.4,41.8,48.4,56.1,63.9,71.5,77.0,75.0,68.5,58.7,47.8,40.5,3.8,3.7,3.3,3.8,4.5,3.9,4.9,5.3,4.6,3.1,2.9,3.7
2031,37.1,41.8,48.1,56.4,64.2,71.6,76.8,74.9,68.7,58.7,47.5,40.7,3.9,3.6,3.3,3.5,4.5,3.8,5.0,5.0,4.5,2.9,2.7,3.5
2032,37.2,42.3,48.1,56.5,64.4,71.5,76.9,74.8,68.8,58.3,47.8,40.2,3.9,3.5,3.3,3.6,4.7,3.8,5.0,4.8,4.5,2.9,2.9,3.7
2033,37.6,42.4,48.0,56.6,64.3,71.5,76.9,74.8,68.8,58.7,47.6,40.5,3.9,3.5,3.3,3.7,4.6,3.8,5.0,4.9,4.7,2.9,2.8,3.7
2034,37.1,42.0,48.0,56.5,64.6,71.8,76.9,74.8,68.9,58.7,47.8,40.3,4.0,3.6,3.4,3.6,4.7,3.8,5.0,5.0,4.7,3.0,2.8,3.6
