YEAR,NOM.VA.PRICE,NOM.LOG.PRICE,CPI.U,REAL.VA.PRICE,LOG.REAL.PRICE,VA.YLD,LOG.VA.YLD,VA.PROD,VA.BEGSTKS,VA.SUPPLY,VA.USE,VA.ENDSTKS,VA.ESU,NAT.YLD,MYA.FUTS,BASIS,NOM.NAT.PRICE
1980,3.48,1.247032294,82.383,13.25114453,2.584083928,55,4.007333185,32725000,1392000,34117000,33684000,433000,1.285476784,91,3.60,-0.12,3.11
1981,2.7,0.993251773,90.933,9.314380918,2.231559541,90,4.49980967,56250000,433000,56683000,56492000,191000,0.33810097,108.9,2.72,-0.02,2.5
1982,2.5,0.916290732,96.533,8.124112998,2.094836553,101,4.615120517,62620000,191000,62811000,60733000,2078000,3.421533598,113.2,2.71,-0.21,2.55
1983,3.7,1.30833282,99.583,11.65542914,2.455772092,48,3.871201011,16320000,2078000,18398000,18287000,111000,0.606988571,81.1,3.38,0.32,3.21
1984,2.9,1.064710737,103.933,8.75298702,2.169395016,104,4.644390899,56160000,111000,56271000,56160000,111000,0.197649573,106.7,2.70,0.20,2.63
1985,2.4,0.875468737,107.600,6.996981413,1.945478829,99,4.59511985,54450000,111000,54561000,47837000,6724000,14.05606539,118,2.26,0.14,2.23
1986,1.7,0.530628251,109.692,4.861672684,1.581382552,54,3.988984047,21600000,6724000,28324000,19841000,8483000,42.75490147,119.4,1.67,0.03,1.5
1987,2.05,0.717839793,113.617,5.660076397,1.73343739,63,4.143134726,20475000,8483000,28958000,22794000,6164000,27.04220409,119.8,2.15,-0.10,1.94
1988,2.9,1.064710737,118.275,7.691601776,2.040129055,79,4.369447852,23305000,6164000,29469000,27380000,2089000,7.629656684,84.6,2.70,0.20,2.54
1989,2.6,0.955511445,123.942,6.58061674,1.88412847,110,4.700480366,40150000,2089000,42239000,40558000,1681000,4.14468169,116.3,2.50,0.10,2.36
1990,2.51,0.920282753,130.658,6.026282202,1.79613027,100,4.605170186,36500000,1681000,38181000,36529000,1652000,4.52243423,118.5,2.38,0.13,2.28
1991,2.6,0.955511445,136.167,5.98981251,1.790060111,84,4.430816799,28140000,1652000,29792000,28381000,1411000,4.971635954,108.6,2.51,0.09,2.37
1992,2.25,0.810930216,140.308,5.030507883,1.61552095,116,4.753590191,41760000,1411000,43171000,40956000,2215000,5.408242992,131.5,2.20,0.05,2.07
1993,2.65,0.97455964,144.475,5.753934591,1.749883897,60,4.094344562,17100000,2215000,19315000,18040000,1275000,7.067627494,100.7,2.69,-0.04,2.5
