STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00448829,"WALKERTON 2 NW, VA US",4/1/1980,0,58,39
USC00442208,"DALE ENTERPRISE, VA US",4/1/1980,0,55,35
USC00447338,"ROCKY MOUNT, VA US",4/1/1980,0.21,60,42
USC00445213,"MANASSAS, VA US",4/1/1980,0,59,28
USC00444044,"HOLLAND 1 E, VA US",4/1/1980,0,65,39
USC00448829,"WALKERTON 2 NW, VA US",4/2/1980,0,72,34
USC00442208,"DALE ENTERPRISE, VA US",4/2/1980,0,71,37
USC00447338,"ROCKY MOUNT, VA US",4/2/1980,0,61,33
USC00445213,"MANASSAS, VA US",4/2/1980,0,73,43
USC00444044,"HOLLAND 1 E, VA US",4/2/1980,0,58,32
USC00448829,"WALKERTON 2 NW, VA US",4/3/1980,0,70,47
USC00442208,"DALE ENTERPRISE, VA US",4/3/1980,0,65,40
USC00447338,"ROCKY MOUNT, VA US",4/3/1980,0,72,38
USC00445213,"MANASSAS, VA US",4/3/1980,0,77,48
USC00444044,"HOLLAND 1 E, VA US",4/3/1980,0,72,47
USC00448829,"WALKERTON 2 NW, VA US",4/4/1980,0.15,77,52
USC00442208,"DALE ENTERPRISE, VA US",4/4/1980,0.28,67,52
USC00447338,"ROCKY MOUNT, VA US",4/4/1980,0.08,70,48
USC00445213,"MANASSAS, VA US",4/4/1980,0.28,75,50
USC00444044,"HOLLAND 1 E, VA US",4/4/1980,0,68,54
USC00448829,"WALKERTON 2 NW, VA US",4/5/1980,0,70,41
USC00442208,"DALE ENTERPRISE, VA US",4/5/1980,0,55,38
USC00447338,"ROCKY MOUNT, VA US",4/5/1980,0.09,72,37
USC00445213,"MANASSAS, VA US",4/5/1980,0,68,42
USC00444044,"HOLLAND 1 E, VA US",4/5/1980,0.1,79,44
USC00448829,"WALKERTON 2 NW, VA US",4/6/1980,0,70,47
USC00442208,"DALE ENTERPRISE, VA US",4/6/1980,0,65,30
USC00447338,"ROCKY MOUNT, VA US",4/6/1980,0,60,30
USC00445213,"MANASSAS, VA US",4/6/1980,0,66,35
USC00444044,"HOLLAND 1 E, VA US",4/6/1980,0,61,33
USC00448829,"WALKERTON 2 NW, VA US",4/7/1980,0,70,41
USC00442208,"DALE ENTERPRISE, VA US",4/7/1980,0,64,36
USC00447338,"ROCKY MOUNT, VA US",4/7/1980,0,65,35
USC00445213,"MANASSAS, VA US",4/7/1980,0,73,55
USC00444044,"HOLLAND 1 E, VA US",4/7/1980,0,68,41
USC00448829,"WALKERTON 2 NW, VA US",4/8/1980,0,71,51
USC00442208,"DALE ENTERPRISE, VA US",4/8/1980,0.36,57,50
USC00447338,"ROCKY MOUNT, VA US",4/8/1980,0.08,60,42
USC00445213,"MANASSAS, VA US",4/8/1980,0,71,52
USC00444044,"HOLLAND 1 E, VA US",4/8/1980,0.05,70,51
USC00448829,"WALKERTON 2 NW, VA US",4/9/1980,1.18,77,57
USC00442208,"DALE ENTERPRISE, VA US",4/9/1980,0.87,69,48
USC00447338,"ROCKY MOUNT, VA US",4/9/1980,2.75,60,51
USC00445213,"MANASSAS, VA US",4/9/1980,0.22,76,50
USC00444044,"HOLLAND 1 E, VA US",4/9/1980,0.12,70,59
