Year,County,YIELD
2024,ACCOMACK,158.6
2024,ESSEX,78.9
2024,NORTHUMBERLAND,127.4
2024,WESTMORELAND,93.5
2024,FAUQUIER,120
2024,ROCKINGHAM,103.3
2024,SOUTHAMPTON,139.1
2024,SUFFOLK CITY,127.1
2024,AUGUSTA,107.6
2023,ESSEX,170.8
2023,NORTHUMBERLAND,171.2
2023,WESTMORELAND,159.1
2023,FAUQUIER,166.3
2023,ROCKINGHAM,113
2023,SOUTHAMPTON,155.1
2023,SUFFOLK CITY,139.5
2023,FRANKLIN,165.8
2023,AUGUSTA,145
2022,ACCOMACK,161.8
2022,ESSEX,176.7
2022,NORTHUMBERLAND,186.5
2022,WESTMORELAND,178.9
2022,FAUQUIER,190
2022,ROCKINGHAM,191.2
2022,SOUTHAMPTON,164.3
2022,SUFFOLK CITY,130.1
2022,FRANKLIN,141.8
2022,AUGUSTA,191.9
2021,ACCOMACK,177.6
2021,ESSEX,170
2021,NORTHUMBERLAND,179.8
2021,WESTMORELAND,189
2021,FAUQUIER,152.9
2021,ROCKINGHAM,132.3
2021,SOUTHAMPTON,152.6
2021,SUFFOLK CITY,152.8
2021,FRANKLIN,136.7
2021,AUGUSTA,118
2020,ACCOMACK,125.1
2020,ESSEX,95.1
2020,NORTHUMBERLAND,121.6
2020,WESTMORELAND,143.2
2020,FAUQUIER,144
2020,ROCKINGHAM,146.6
2020,SOUTHAMPTON,111
2020,SUFFOLK CITY,63.5
2020,FRANKLIN,123.1
2020,AUGUSTA,167.1
2019,ACCOMACK,152
2019,ESSEX,157
2019,NORTHUMBERLAND,136
2019,WESTMORELAND,146
2019,FAUQUIER,159
2019,ROCKINGHAM,173.5
2019,SOUTHAMPTON,147
2019,FRANKLIN,141.1
2019,AUGUSTA,175
2018,ACCOMACK,156.9
2018,ESSEX,135.8
2018,NORTHUMBERLAND,140.7
2018,WESTMORELAND,148.6
2018,FAUQUIER,145.3
2018,ROCKINGHAM,152.7
2018,SUFFOLK CITY,151.7
2018,FRANKLIN,114.9
2018,AUGUSTA,158.3
2017,ACCOMACK,153.1
2017,ESSEX,127.8
