Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2024,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.35,
SURVEY,2024,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.7,
SURVEY,2023,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.55,
SURVEY,2023,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.1,
SURVEY,2022,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.54,
SURVEY,2022,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,7,
SURVEY,2021,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6,
SURVEY,2021,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.4,
SURVEY,2020,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.53,
SURVEY,2020,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.1,
SURVEY,2019,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.56,
SURVEY,2019,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.1,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.61,
SURVEY,2018,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.06,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.36,
SURVEY,2017,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.96,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.36,
SURVEY,2016,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.61,
SURVEY,2015,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.05,
SURVEY,2014,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.7,
SURVEY,2014,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9,
SURVEY,2013,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.46,
SURVEY,2013,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.8,
SURVEY,2012,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.89,
SURVEY,2012,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,7.3,
SURVEY,2011,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.22,
SURVEY,2011,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.58,
SURVEY,2010,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.18,
SURVEY,2010,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.54,
SURVEY,2009,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.55,
SURVEY,2009,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.66,
SURVEY,2008,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.06,
SURVEY,2008,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.51,
SURVEY,2007,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.2,
SURVEY,2007,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.39,
SURVEY,2006,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.04,
SURVEY,2006,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.07,
SURVEY,2005,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2,
SURVEY,2005,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.14,
SURVEY,2004,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.06,
SURVEY,2004,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.17,
SURVEY,2003,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.42,
SURVEY,2003,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.57,
SURVEY,2002,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.32,
SURVEY,2002,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.73,
SURVEY,2001,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.97,
SURVEY,2001,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.14,
SURVEY,2000,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.85,
SURVEY,2000,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.02,
SURVEY,1999,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.82,
SURVEY,1999,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.15,
SURVEY,1998,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.94,
SURVEY,1998,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.24,
SURVEY,1997,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.43,
SURVEY,1997,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.69,
SURVEY,1996,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.71,
