Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2024,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,594,000",
SURVEY,2024,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"82,896,000",
SURVEY,2024,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.3,
SURVEY,2024,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"460,000",
SURVEY,2024,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"305,000",
SURVEY,2024,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114,
SURVEY,2023,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"94,641,000",
SURVEY,2023,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"86,506,000",
SURVEY,2023,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.3,
SURVEY,2023,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"495,000",
SURVEY,2023,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"370,000",
SURVEY,2023,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157,
SURVEY,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,162,000",
SURVEY,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"78,705,000",
SURVEY,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.4,
SURVEY,2022,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"430,000",
SURVEY,2022,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"325,000",
SURVEY,2022,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167,
SURVEY,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"92,901,000",
SURVEY,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"84,988,000",
SURVEY,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.7,
